sep=,,,,,,
time (source1),data.0,data.1,data.2,data.3,data.4,
20.226,468.06,240.336,40.292,21.514,244.637,
20.341,468.17,241.086,40.442,21.664,245.412,
20.45,468.28,240.936,41.342,21.364,245.388,
20.557,468.39,240.336,40.442,21.814,244.689,
20.717,468.55,240.186,40.442,22.114,244.568,
20.826,468.66,240.636,40.892,22.114,245.085,
20.938,468.77,240.186,40.142,22.414,244.546,
21.043,468.88,240.036,40.592,22.264,244.459,
21.159,468.99,239.436,41.192,19.864,243.764,
21.277,469.11,237.636,51.692,17.314,243.808,
21.39,469.22,235.836,56.642,13.414,242.913,
21.553,469.38,229.386,57.992,16.714,237.192,
21.673,469.49,220.086,66.992,22.714,231.174,
21.778,469.61,216.036,80.792,29.314,232.504,
21.886,469.72,210.336,93.842,29.464,232.197,
22.006,469.83,202.986,98.042,27.064,227.041,
22.115,469.94,195.486,100.292,24.064,221.025,
22.221,470.05,191.586,102.092,23.764,218.386,
22.373,470.2,183.186,110.942,26.164,215.754,
22.481,470.31,176.436,122.192,26.764,216.279,
22.606,470.43,171.486,141.842,34.264,225.167,
22.71,470.53,187.086,174.842,43.414,259.722,
22.823,470.65,220.086,221.342,45.214,315.395,
22.937,470.76,238.536,266.042,55.114,361.545,
23.143,470.96,239.286,341.192,92.764,426.936,
23.242,471.07,229.686,345.992,97.714,426.631,
23.353,471.18,227.436,361.892,96.364,438.154,
23.47,471.29,243.936,400.742,79.264,475.795,
23.572,471.39,255.936,404.492,56.464,481.98,
23.683,471.51,237.486,401.792,93.964,476.094,
23.803,471.62,205.386,402.242,151.564,472.635,
23.955,471.77,126.486,457.292,205.864,517.198,
24.07,471.88,86.736,498.392,221.014,552.055,
24.176,471.99,32.286,580.142,252.214,633.418,
24.285,472.1,-55.464,719.492,304.264,783.148,
24.403,472.21,-162.714,840.092,320.764,935.648,
24.513,472.33,-356.514,931.592,320.314,1047.648,
24.626,472.44,-409.914,969.242,350.464,1109.181,
24.782,472.59,-717.414,915.692,345.664,1213.531,
24.903,472.72,-728.514,881.342,334.414,1191.355,
25.018,472.83,-787.614,922.592,395.614,1275.939,
25.135,472.94,-1166.964,864.992,383.464,1502.351,
25.249,473.06,-1329.714,670.142,296.164,1518.203,
25.368,473.18,-1522.614,252.992,134.764,1549.361,
25.517,473.33,-1639.014,-366.808,-36.686,1679.958,
25.626,473.44,-1439.514,-953.758,-246.986,1744.378,
25.738,473.55,-932.814,-1377.808,-378.986,1706.495,
25.851,473.66,-371.364,-1552.858,-385.886,1642.615,
25.971,473.78,307.236,-1432.558,-308.486,1497.257,
26.083,473.89,707.736,-1175.758,-174.236,1383.349,
26.277,474.09,852.186,-924.058,-53.786,1258.172,
26.401,474.21,701.286,-744.658,-29.936,1023.334,
26.509,474.32,504.486,-576.058,-19.286,765.977,
26.622,474.43,417.936,-483.958,-24.086,639.895,
26.734,474.53,393.186,-458.158,-18.686,604.03,
26.845,474.65,377.586,-450.508,-14.186,587.987,
26.999,474.81,366.786,-449.458,-8.486,580.186,
27.115,474.92,354.936,-456.358,-5.936,578.167,
27.236,475.03,355.236,-477.508,-12.386,595.281,
27.34,475.14,346.836,-485.758,1.864,596.874,
27.449,475.25,347.736,-476.458,22.864,590.301,
27.567,475.36,391.536,-474.208,47.764,616.81,
27.673,475.47,312.336,-442.108,42.664,542.985,
27.833,475.63,141.636,-345.508,29.464,374.572,
27.936,475.74,92.286,-290.758,22.414,305.874,
28.045,475.85,68.736,-250.858,21.964,261.03,
28.153,475.95,43.686,-232.708,21.214,237.721,
28.271,476.07,25.386,-228.358,22.114,230.826,
28.378,476.18,22.836,-235.258,24.064,237.585,
28.522,476.32,25.536,-244.708,26.614,247.472,
28.634,476.43,54.636,-307.708,24.964,313.516,
28.739,476.54,43.986,-352.108,26.464,355.83,
28.853,476.65,50.586,-382.108,26.764,386.37,
28.968,476.76,36.036,-402.508,26.614,404.993,
29.07,476.87,37.686,-404.608,29.464,407.426,
29.177,476.97,38.136,-434.308,30.364,437.035,
29.346,477.14,55.386,-387.958,22.264,392.523,
29.468,477.25,29.586,-329.308,24.364,331.53,
29.577,477.36,15.486,-299.308,24.514,300.709,
29.686,477.48,-19.614,-276.958,23.464,278.641,
29.801,477.59,-62.964,-258.208,25.564,267,
29.91,477.7,-88.464,-250.558,22.414,266.66,
30.017,477.81,-92.364,-260.758,19.414,277.313,
30.172,477.96,-90.264,-297.058,-3.986,310.494,
30.285,478.07,-46.014,-320.608,8.464,324.003,
30.399,478.18,-18.414,-331.858,5.464,332.413,
30.508,478.29,-6.114,-335.158,3.214,335.229,
30.617,478.41,21.486,-324.508,-3.536,325.237,
30.731,478.51,-13.764,-319.708,7.114,320.083,
30.841,478.62,-55.764,-325.108,10.414,330.02,
31.01,478.79,-256.764,-335.458,5.914,422.486,
31.115,478.9,-315.564,-252.208,6.364,404.017,
31.232,479.01,-322.164,-204.058,-1.286,381.354,
31.341,479.12,-329.214,-163.558,-0.986,367.605,
31.446,479.23,-327.864,-133.108,4.114,353.877,
31.553,479.34,-320.514,-114.508,7.264,340.432,
31.716,479.5,-305.964,-71.608,11.914,312.414,
