sep=	
time (source1)	data.0	data.1	data.2	data.3	data.4	data.5	data.6	
58.516	62.56	1033.086	-1484.308	519.814	1881.659	3	2	
58.636	62.69	1032.036	-1484.008	520.714	1881.095	3	2	
58.798	62.85	1032.336	-1484.308	521.614	1881.746	3	2	
58.913	62.96	1032.786	-1484.908	521.914	1882.549	3	2	
59.027	63.07	1032.036	-1484.158	520.414	1881.131	3	2	
59.134	63.18	1031.586	-1485.208	521.164	1881.92	3	2	
59.249	63.29	1032.036	-1483.858	521.464	1881.185	3	2	
59.357	63.41	1032.786	-1484.608	521.614	1882.229	3	2	
59.516	63.56	1032.786	-1483.858	522.064	1881.763	3	2	
59.628	63.67	1032.936	-1484.158	521.164	1881.832	3	2	
59.74	63.79	1032.486	-1485.208	521.464	1882.496	3	2	
59.864	63.91	1032.336	-1483.858	521.314	1881.308	3	2	
59.981	64.02	1032.186	-1484.908	523.114	1882.553	3	2	
60.093	64.14	1032.186	-1484.608	522.064	1882.025	3	2	
60.262	64.31	1032.186	-1482.508	527.464	1881.875	3	2	
60.382	64.42	1032.186	-1479.358	528.364	1879.647	3	2	
60.486	64.53	1032.336	-1479.508	529.714	1880.228	3	2	
60.598	64.64	1032.636	-1479.808	530.464	1880.84	3	2	
60.717	64.76	1031.736	-1479.658	529.714	1880.016	3	2	
60.881	64.92	1032.486	-1479.958	530.164	1880.791	3	2	
60.99	65.03	1031.586	-1478.908	530.314	1879.513	3	2	
61.115	65.16	1038.636	-1480.558	537.814	1886.812	3	2	
67.958	71.97	-1175.664	-749.608	201.964	1408.86	4	2	
68.059	72.09	-1192.314	-845.608	205.414	1476.096	4	2	
68.171	72.2	-1189.614	-850.708	206.914	1477.057	4	2	
68.322	72.35	-1190.364	-849.658	205.264	1476.827	4	2	
68.444	72.47	-1189.014	-850.558	206.314	1476.403	4	2	
68.557	72.58	-1188.414	-850.858	205.714	1476.009	4	2	
68.677	72.7	-1189.164	-850.558	205.564	1476.42	4	2	
68.787	72.81	-1188.414	-851.158	206.464	1476.287	4	2	
68.946	72.97	-1188.864	-851.008	206.464	1476.563	4	2	
69.069	73.09	-1189.614	-849.958	206.464	1476.562	4	2	
69.186	73.21	-1188.714	-849.958	206.314	1475.816	4	2	
69.304	73.33	-1187.964	-850.558	206.464	1475.579	4	2	
69.418	73.44	-1187.964	-850.858	205.714	1475.647	4	2	
69.533	73.56	-1188.864	-850.558	206.164	1476.262	4	2	
69.715	73.74	-1188.864	-850.858	205.264	1476.309	4	2	
69.827	73.85	-1188.714	-850.408	206.014	1476.034	4	2	
69.936	73.96	-1188.714	-849.958	205.414	1475.691	4	2	
70.061	74.08	-1188.864	-851.758	205.864	1476.912	4	2	
70.182	74.21	-1188.114	-851.158	205.114	1475.857	4	2	
70.36	74.38	-1188.564	-852.058	206.164	1476.885	4	2	
70.468	74.49	-1188.714	-851.308	206.014	1476.552	4	2	
70.588	74.61	-1189.164	-850.708	204.964	1476.423	4	2	
70.699	74.72	-1188.714	-851.008	205.414	1476.296	4	2	
70.819	74.84	-1189.164	-851.758	206.164	1477.195	4	2	
70.936	74.95	-1187.964	-850.708	205.714	1475.561	4	2	
71.095	75.11	-1188.564	-851.008	206.314	1476.3	4	2	
71.207	75.23	-1189.014	-851.158	206.014	1476.707	4	2	
71.329	75.35	-1189.014	-851.158	205.414	1476.624	4	2	
71.439	75.46	-1188.264	-851.158	205.864	1476.083	4	2	
71.575	75.6	-1186.914	-854.158	207.064	1476.897	4	2	
71.696	75.71	-1186.764	-854.008	204.664	1476.355	4	2	
71.85	75.87	-1187.214	-854.608	204.514	1477.043	4	2	
71.969	75.99	-1187.064	-854.908	204.664	1477.117	4	2	
72.085	76.11	-1183.764	-857.758	218.764	1478.141	4	2	
75.02	79.03	-303.264	8.192	13.414	303.671	5	2	
75.133	79.14	-303.564	8.492	26.614	304.846	5	2	
75.344	79.35	-303.414	-0.208	34.264	305.342	5	2	
75.458	79.47	-303.864	0.692	34.564	305.824	5	2	
